subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
100990,31001,,,갈등과분쟁의세계사,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100991,31001,,,영화와세계사,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100997,31002,,,성.사랑.결혼,,교양대학,인문사회교양학부,3,교선,120,,,,,,,,,
100997,31001,,,성.사랑.결혼,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100998,31002,,,대중음악의이해,,교양대학,인문사회교양학부,3,교선,120,,,,,,,,,
100998,31001,,,대중음악의이해,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
100999,31001,,,종교와문화,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
101002,31001,,,"피, 땀, 눈물",,교양대학,융합교양학부,3,교선,40,,,,,,,,,
101008,31001,,,철학적책읽기,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
101014,31001,,,인권의이해,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
101015,31001,,,금융의이해,,교양대학,인문사회교양학부,3,교선,40,,,,,,,,,
101018,31004,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101018,31001,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101018,31002,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101018,31007,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101018,31006,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101018,31005,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101018,31003,,,과학기술과문명,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제2영역",,,
101019,31008,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31003,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31004,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31002,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31007,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31006,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31001,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31005,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101019,31009,,,과학기술과사회,,교양대학,인문사회교양학부,3,교필,40,,,,,,"택1, 제3영역",,,
101032,11023,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11022,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11021,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11020,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11013,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11003,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,108,,,,,,취업과진로  공통필수,,,
101032,11014,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11018,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11017,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11001,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,108,,,,,,취업과진로  공통필수,,,
101032,11015,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11016,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11024,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11019,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,100,,,,,,취업과진로  공통필수,,,
101032,11002,,,취창업진로설계,,교양대학,현장실습지원센터,1,교필,108,,,,,,취업과진로  공통필수,,,
