grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
38,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11035,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,정계선,정계선,청운관(북관)-024 청운관(북관)-024,Chungwoon Hall(006A)-024,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
39,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11034,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,유자도,유자도,다빈치관-108 다빈치관-108,Davinci Hall(039)-108,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
40,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11017,교필,General Education Required Course,3,"수(3 ~ 4), 금(1 ~ 2)","Wed(3 ~ 4), Fri(1 ~ 2)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,정계선,정계선,창조관-211 창조관-211,Changjo Hall (Graduate School)(008)-211,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
41,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11031,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",33,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,엄태관,엄태관,다산관-320 다산관-320,Dasan Hall(002)-320,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
42,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11032,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,안일주,안일주,다빈치관-106 다빈치관-106,Davinci Hall(039)-106,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
43,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11005,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김건우,"Kim,Geonwoo",다빈치관-218 다빈치관-217,Davinci Hall(039)-218 Davinci Hall(039)-217,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
44,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11004,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,조성민,조성민,다빈치관-209 다빈치관-209,Davinci Hall(039)-209,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
45,100166,미분적분학(2),Calculus(2),"수강대상: 에너지바이오대학, 정보통신대학",11003,교필,General Education Required Course,3,"화(3 ~ 4), 목(3 ~ 4)","Tue(3 ~ 4), Thu(3 ~ 4)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,엄태관,엄태관,다빈치관-208 다빈치관-208,Davinci Hall(039)-208,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
46,100166,미분적분학(2),Calculus(2),외국인 전용 영어강좌,11001,교필,General Education Required Course,3,"화(6 ~ 7), 목(6 ~ 7)","Tue(6 ~ 7), Thu(6 ~ 7)",30,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,김건우,"Kim,Geonwoo",미래관-202 미래관-202,Mirae Hall(060)-202 (),보기,Y,,"영어전용(M)  일반+사이버(70%미만)강좌 택1, 공통 그룹 3","Offered in English   택1, 공통 그룹 3"
47,100166,미분적분학(2),Calculus(2),수강대상: 공과대학,11033,교필,General Education Required Course,3,"수(6 ~ 7), 금(6 ~ 7)","Wed(6 ~ 7), Fri(6 ~ 7)",36,교양대학,College of Liberal Arts,교양대학,College of Liberal Arts,홍석영,홍석영,국제관-409 국제관-409,International Hall(038)-409,보기,N,,"택1, 공통 그룹 3","택1, 공통 그룹 3"
