grd_ScheduleMain_rn,grd_ScheduleMain_SUBJ_CD,grd_ScheduleMain_SUBJ_KNM,grd_ScheduleMain_SUBJ_ENM,grd_ScheduleMain_NOTE,grd_ScheduleMain_LECT_NUMB,grd_ScheduleMain_CMPT_DIV_NM,grd_ScheduleMain_CMPT_DIV_ENM,grd_ScheduleMain_UNIT,grd_ScheduleMain_LSTM_LIST,grd_ScheduleMain_LSTM_LIST_ENM,grd_ScheduleMain_COUR_INWON,grd_ScheduleMain_SP_LESS_CD_NM,grd_ScheduleMain_SP_LESS_CD_ENM,grd_ScheduleMain_MNG_LESS_NM,grd_ScheduleMain_MNG_LESS_ENM,grd_ScheduleMain_PROF_NM,grd_ScheduleMain_PROF_ENM,grd_ScheduleMain_BLDG_COUM,grd_ScheduleMain_BLDG_COUM_ENM,grd_ScheduleMain_PROG_YN,grd_ScheduleMain_OTSH_LIMT_YN,grd_ScheduleMain_DLES_COUR_PBT_YN,grd_ScheduleMain_ETC,grd_ScheduleMain_ETC_ENM
101,181115,마이크로컨트롤러,MicroController,,31003,전선,Major Electives,3,"월(3 ~ 4), 화(6 ~ 7)","Mon(3 ~ 4), Tue(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이주형,JOOHYUNG LEE,하이테크관-232 하이테크관-232,High Tech Hall(033)-232,보기,Y,Y,,
102,181115,마이크로컨트롤러,MicroController,,31004,전선,Major Electives,3,"화(8 ~ 9), 수(6 ~ 7)","Tue(8 ~ 9), Wed(6 ~ 7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이주형,JOOHYUNG LEE,하이테크관-232 하이테크관-232,High Tech Hall(033)-232,보기,Y,Y,,
103,181115,마이크로컨트롤러,MicroController,,31002,전선,Major Electives,3,"화(3 ~ 4), 목(8 ~ 9)","Tue(3 ~ 4), Thu(8 ~ 9)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,박희재,박희재,하이테크관-232 하이테크관-232,High Tech Hall(033)-232,보기,Y,Y,,
104,181117,인공지능개론,Introduction to Artificial Intelligence,,41001,전선,Major Electives,3,"화(8 ~ 9), 수(7)","Tue(8 ~ 9), Wed(7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이치범,"LEE, CHIBUM",프론티어관-506 프론티어관-506,Frontier Hall(032)-506,보기,Y,Y,,
105,181120,임베디드시스템프로그래밍,Programming for Embedded Systems,,41001,전선,Major Electives,3,"월(6 ~ 7), 목(3 ~ 4)","Mon(6 ~ 7), Thu(3 ~ 4)",34,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,박희재,박희재,프론티어관-507 프론티어관-507,Frontier Hall(032)-507,보기,Y,,,
106,181122,스마트제조개론,Introduction to Smart Manufacturing,,31001,전선,Major Electives,3,"월(1 ~ 2), 목(1)","Mon(1 ~ 2), Thu(1)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,정연찬,"Chung, YunChan",다산관-319 다산관-319,Dasan Hall(002)-319,보기,Y,,,
107,181125,반도체제조공정,Semiconductor Device Manufacturing,,41001,전선,Major Electives,3,"월(2 ~ 3), 화(5)","Mon(2 ~ 3), Tue(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,김성동,김성동,프론티어관-509 프론티어관-402,Frontier Hall(032)-509 Frontier Hall(032)-402,보기,Y,,,
108,181125,반도체제조공정,Semiconductor Device Manufacturing,,41002,전선,Major Electives,3,"월(8 ~ 9), 목(5)","Mon(8 ~ 9), Thu(5)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,조영학,"Cho, Young Hak",프론티어관-409 프론티어관-409,Frontier Hall(032)-409,보기,Y,,,
109,181126,데이터분석입문,Introduction to Data Analytics,,31001,전선,Major Electives,3,"화(6 ~ 7), 수(1 ~ 2)","Tue(6 ~ 7), Wed(1 ~ 2)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,이주연,Ju Yeon Lee,하이테크관-201 하이테크관-201,High Tech Hall(033)-201,보기,Y,Y,영어전용(Y),Offered in English
110,181127,생산재료공학,Material Science for Manufacturing,,31001,전선,Major Electives,3,"화(2 ~ 3), 목(7)","Tue(2 ~ 3), Thu(7)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,"류민영, 이창환","Lyu, Min-Young",다산관-316 다산관-316,Dasan Hall(002)-316,보기,Y,Y,,
111,181127,생산재료공학,Material Science for Manufacturing,,31002,전선,Major Electives,3,"화(6 ~ 7), 목(3)","Tue(6 ~ 7), Thu(3)",40,기계시스템디자인공학과,Department of Mechanical System Design Engineering,기계시스템디자인공학과,Department of Mechanical System Design Engineering,"류민영, 이창환",Chang-Whan LEE,다산관-322 다산관-322,Dasan Hall(002)-322,보기,Y,Y,,
